CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50015171,NEW AMSTERDAM THEATER,Manhattan,214,WEST   42 STREET,10036,2125825472,American,11/20/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,11/20/2015,06/06/2024,Cycle Inspection / Initial Inspection,40.756316895053,-73.987651832547,105,03,011300,1024660,1010130039,MN17,
50015171,NEW AMSTERDAM THEATER,Manhattan,214,WEST   42 STREET,10036,2125825472,American,11/20/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,11/20/2015,06/06/2024,Cycle Inspection / Initial Inspection,40.756316895053,-73.987651832547,105,03,011300,1024660,1010130039,MN17,
50015171,NEW AMSTERDAM THEATER,Manhattan,214,WEST   42 STREET,10036,2125825472,American,11/20/2015,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Applicable,,,,06/06/2024,Smoke-Free Air Act / Initial Inspection,40.756316895053,-73.987651832547,105,03,011300,1024660,1010130039,MN17,
50015171,NEW AMSTERDAM THEATER,Manhattan,214,WEST   42 STREET,10036,2125825472,American,11/20/2015,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,10,A,11/20/2015,06/06/2024,Cycle Inspection / Initial Inspection,40.756316895053,-73.987651832547,105,03,011300,1024660,1010130039,MN17,
41611709,EQUESTRIS,Queens,110-00,ROCKAWAY BOULEVARD,11420,7182153308,American,12/12/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,21,,,06/06/2024,Cycle Inspection / Initial Inspection,40.677664571164,-73.828757893149,410,32,086400,4457718,4115430002,QN55,
41611709,EQUESTRIS,Queens,110-00,ROCKAWAY BOULEVARD,11420,7182153308,American,12/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21,,,06/06/2024,Cycle Inspection / Initial Inspection,40.677664571164,-73.828757893149,410,32,086400,4457718,4115430002,QN55,
41611709,EQUESTRIS,Queens,110-00,ROCKAWAY BOULEVARD,11420,7182153308,American,12/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21,,,06/06/2024,Cycle Inspection / Initial Inspection,40.677664571164,-73.828757893149,410,32,086400,4457718,4115430002,QN55,
41611709,EQUESTRIS,Queens,110-00,ROCKAWAY BOULEVARD,11420,7182153308,American,12/12/2015,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,21,,,06/06/2024,Cycle Inspection / Initial Inspection,40.677664571164,-73.828757893149,410,32,086400,4457718,4115430002,QN55,
50041177,FIRSTLIVE STUDIO,Brooklyn,219,CENTRAL AVENUE,11221,9292109055,Other,01/21/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,6,A,01/21/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.697359420821,-73.92388148717,304,37,042100,3074096,3032550001,BK78,
50041177,FIRSTLIVE STUDIO,Brooklyn,219,CENTRAL AVENUE,11221,9292109055,Other,01/21/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,01/21/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.697359420821,-73.92388148717,304,37,042100,3074096,3032550001,BK78,
50041177,FIRSTLIVE STUDIO,Brooklyn,219,CENTRAL AVENUE,11221,9292109055,Other,01/21/2016,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,6,A,01/21/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.697359420821,-73.92388148717,304,37,042100,3074096,3032550001,BK78,
41627984,JOUVAY NIGHT CLUB,Queens,14702,LIBERTY AVENUE,11435,7186589600,Caribbean,02/14/2016,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,19,,,06/06/2024,Cycle Inspection / Initial Inspection,40.696218749871,-73.804407456832,412,28,020400,4448842,4100580001,QN61,
41627984,JOUVAY NIGHT CLUB,Queens,14702,LIBERTY AVENUE,11435,7186589600,Caribbean,02/14/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,19,,,06/06/2024,Cycle Inspection / Initial Inspection,40.696218749871,-73.804407456832,412,28,020400,4448842,4100580001,QN61,
41627984,JOUVAY NIGHT CLUB,Queens,14702,LIBERTY AVENUE,11435,7186589600,Caribbean,02/14/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,,,06/06/2024,Cycle Inspection / Initial Inspection,40.696218749871,-73.804407456832,412,28,020400,4448842,4100580001,QN61,
41627984,JOUVAY NIGHT CLUB,Queens,14702,LIBERTY AVENUE,11435,7186589600,Caribbean,02/14/2016,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,06/06/2024,Smoke-Free Air Act / Initial Inspection,40.696218749871,-73.804407456832,412,28,020400,4448842,4100580001,QN61,
41627984,JOUVAY NIGHT CLUB,Queens,14702,LIBERTY AVENUE,11435,7186589600,Caribbean,02/14/2016,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,19,,,06/06/2024,Cycle Inspection / Initial Inspection,40.696218749871,-73.804407456832,412,28,020400,4448842,4100580001,QN61,
41589635,PRODUCERS LOUNGE,Manhattan,358,WEST   44 STREET,10036,2123154743,American,03/11/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,03/11/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.759193669729,-73.990452406045,104,03,012100,1024978,1010340061,MN15,
41589635,PRODUCERS LOUNGE,Manhattan,358,WEST   44 STREET,10036,2123154743,American,03/11/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,03/11/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.759193669729,-73.990452406045,104,03,012100,1024978,1010340061,MN15,
41611709,EQUESTRIS,Queens,110-00,ROCKAWAY BOULEVARD,11420,7182153308,American,03/26/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,13,A,03/26/2016,06/06/2024,Cycle Inspection / Re-inspection,40.677664571164,-73.828757893149,410,32,086400,4457718,4115430002,QN55,
41611709,EQUESTRIS,Queens,110-00,ROCKAWAY BOULEVARD,11420,7182153308,American,03/26/2016,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,13,A,03/26/2016,06/06/2024,Cycle Inspection / Re-inspection,40.677664571164,-73.828757893149,410,32,086400,4457718,4115430002,QN55,
50003174,BOILERMAKER,Manhattan,72,EAST    1 STREET,10003,2129955400,American,04/01/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,29,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723377099773,-73.988700593011,103,02,003602,1079099,1004437503,MN22,
50003174,BOILERMAKER,Manhattan,72,EAST    1 STREET,10003,2129955400,American,04/01/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,29,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723377099773,-73.988700593011,103,02,003602,1079099,1004437503,MN22,
50003174,BOILERMAKER,Manhattan,72,EAST    1 STREET,10003,2129955400,American,04/01/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,29,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723377099773,-73.988700593011,103,02,003602,1079099,1004437503,MN22,
50003174,BOILERMAKER,Manhattan,72,EAST    1 STREET,10003,2129955400,American,04/01/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,29,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723377099773,-73.988700593011,103,02,003602,1079099,1004437503,MN22,
50003174,BOILERMAKER,Manhattan,72,EAST    1 STREET,10003,2129955400,American,04/01/2016,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,29,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723377099773,-73.988700593011,103,02,003602,1079099,1004437503,MN22,
50003174,BOILERMAKER,Manhattan,72,EAST    1 STREET,10003,2129955400,American,04/01/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,29,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723377099773,-73.988700593011,103,02,003602,1079099,1004437503,MN22,
41627984,JOUVAY NIGHT CLUB,Queens,14702,LIBERTY AVENUE,11435,7186589600,Caribbean,04/02/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,,,06/06/2024,Inter-Agency Task Force / Initial Inspection,40.696218749871,-73.804407456832,412,28,020400,4448842,4100580001,QN61,
41627984,JOUVAY NIGHT CLUB,Queens,14702,LIBERTY AVENUE,11435,7186589600,Caribbean,04/02/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,,,06/06/2024,Inter-Agency Task Force / Initial Inspection,40.696218749871,-73.804407456832,412,28,020400,4448842,4100580001,QN61,
41534242,MCMURRAY HALL (SUNY MARITIME),Bronx,6,PENNYFIELD AVENUE,10465,7184095148,American,04/07/2016,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,9,,,06/06/2024,Cycle Inspection / Initial Inspection,40.809102838289,-73.801249547633,210,13,011800,2100430,2055300050,BX52,
41534242,MCMURRAY HALL (SUNY MARITIME),Bronx,6,PENNYFIELD AVENUE,10465,7184095148,American,04/07/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,,,06/06/2024,Cycle Inspection / Initial Inspection,40.809102838289,-73.801249547633,210,13,011800,2100430,2055300050,BX52,
40716625,PRUNE,Manhattan,54,EAST    1 STREET,10003,2126776221,American,04/13/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,29,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723654383691,-73.989353547482,103,02,003602,1006105,1004430050,MN22,
40716625,PRUNE,Manhattan,54,EAST    1 STREET,10003,2126776221,American,04/13/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,29,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723654383691,-73.989353547482,103,02,003602,1006105,1004430050,MN22,
40716625,PRUNE,Manhattan,54,EAST    1 STREET,10003,2126776221,American,04/13/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,29,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723654383691,-73.989353547482,103,02,003602,1006105,1004430050,MN22,
40716625,PRUNE,Manhattan,54,EAST    1 STREET,10003,2126776221,American,04/13/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Applicable,,,,06/06/2024,Smoke-Free Air Act / Initial Inspection,40.723654383691,-73.989353547482,103,02,003602,1006105,1004430050,MN22,
40716625,PRUNE,Manhattan,54,EAST    1 STREET,10003,2126776221,American,04/13/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,29,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723654383691,-73.989353547482,103,02,003602,1006105,1004430050,MN22,
40716625,PRUNE,Manhattan,54,EAST    1 STREET,10003,2126776221,American,04/13/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,29,,,06/06/2024,Cycle Inspection / Initial Inspection,40.723654383691,-73.989353547482,103,02,003602,1006105,1004430050,MN22,
41433190,SAINT ANNS,Queens,26315,UNION TURNPIKE,11004,7183432630,American,04/26/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,04/26/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.748803662566,-73.708892159768,413,23,155102,4174009,4085370031,QN44,
40625198,KOREAN AIR LOUNGE,Queens,0,JFK INTERNATIONAL AIRPOR,11430,7187512030,Korean,04/27/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,04/27/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98,
41103052,MINGLES,Queens,13018,101 AVENUE,11419,7188056507,American,04/29/2016,Violations were cited in the following area(s).,15S,Flavored tobacco products sold or offered for sale,Not Applicable,,,,06/06/2024,Smoke-Free Air Act / Initial Inspection,40.692544775318,-73.816815919512,409,28,015600,4201015,4094980005,QN54,
41103052,MINGLES,Queens,13018,101 AVENUE,11419,7188056507,American,04/29/2016,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,04/29/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.692544775318,-73.816815919512,409,28,015600,4201015,4094980005,QN54,
50001102,FASSST CAFE (SECOND STAGE THEATRE),Manhattan,305,WEST   43 STREET,10036,2127878302,American,05/03/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,05/03/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.758123157579,-73.989799219199,104,03,012100,1024967,1010340029,MN15,
41363953,GRAMERCY TERRACE (GRAMERCY PARK HOTEL),Manhattan,2,LEXINGTON AVENUE,10010,2122012171,American,05/04/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,05/04/2016,06/06/2024,Cycle Inspection / Re-inspection,40.738308277497,-73.985616357496,106,02,006800,1017990,1008770018,MN21,
41363953,GRAMERCY TERRACE (GRAMERCY PARK HOTEL),Manhattan,2,LEXINGTON AVENUE,10010,2122012171,American,05/04/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,05/04/2016,06/06/2024,Cycle Inspection / Re-inspection,40.738308277497,-73.985616357496,106,02,006800,1017990,1008770018,MN21,
40483195,THE JOYCE THEATER,Manhattan,175,EIGHTH AVENUE,10011,2126919740,American,05/05/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,2,A,05/05/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.742750205328,-74.000346443073,104,03,008900,1013110,1007420039,MN13,
40483195,THE JOYCE THEATER,Manhattan,175,EIGHTH AVENUE,10011,2126919740,American,05/05/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Applicable,,,,06/06/2024,Smoke-Free Air Act / Initial Inspection,40.742750205328,-74.000346443073,104,03,008900,1013110,1007420039,MN13,
40482597,BROADWAY THEATRE,Manhattan,1681,BROADWAY,10019,2125867610,American,05/05/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,05/05/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.763109574715,-73.982979371412,105,03,013100,1080865,1010240046,MN17,
50015536,STUDIO 54 THEATRE,Manhattan,254,WEST   54 STREET,10019,2127199393,American,05/10/2016,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10,A,05/10/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.764331026906,-73.983217315152,105,03,013100,1024843,1010250058,MN17,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,05/14/2016,Violations were cited in the following area(s).,20F,Current letter grade sign not posted.,Not Critical,,,,06/06/2024,Administrative Miscellaneous / Initial Inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,05/14/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Applicable,,,,06/06/2024,Smoke-Free Air Act / Initial Inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,05/14/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,18,,,06/06/2024,Cycle Inspection / Initial Inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,05/14/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,,,06/06/2024,Cycle Inspection / Initial Inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,05/14/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18,,,06/06/2024,Cycle Inspection / Initial Inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41316251,"HURON CLUB, SOHO PLAYHOUSE",Manhattan,15,VANDAM STREET,10013,2126911555,American,05/14/2016,Violations were cited in the following area(s).,15I,“No Smoking” and/or “Smoking Permitted” sign not conspicuously posted. Health warning not present on “Smoking Permitted” sign.,Not Applicable,,,,06/06/2024,Smoke-Free Air Act / Initial Inspection,40.726322703743,-74.004470174465,102,03,003700,1007836,1005060047,MN24,
41644180,MANHATTAN TERRACE BAR,Queens,110-00,ROCKAWAY BOULEVARD,11420,2122153542,American,05/14/2016,Violations were cited in the following area(s).,,,Not Applicable,0,A,05/14/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.677664571164,-73.828757893149,410,32,086400,4457718,4115430002,QN55,
40560941,LYCEUM THEATRE,Manhattan,149,WEST   45 STREET,10036,2125867610,American,05/14/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,05/14/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.757362210654,-73.984096204909,105,04,011900,1022633,1009980008,MN17,
40483596,GERSHWIN THEATRE,Manhattan,222,WEST   51 STREET,10019,2123544624,Other,05/17/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,05/17/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.762258864807,-73.984131129618,105,03,013100,1024812,1010220043,MN17,
40483596,GERSHWIN THEATRE,Manhattan,222,WEST   51 STREET,10019,2123544624,Other,05/17/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,05/17/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.762258864807,-73.984131129618,105,03,013100,1024812,1010220043,MN17,
40483596,GERSHWIN THEATRE,Manhattan,222,WEST   51 STREET,10019,2123544624,Other,05/17/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Applicable,,,,06/06/2024,Smoke-Free Air Act / Initial Inspection,40.762258864807,-73.984131129618,105,03,013100,1024812,1010220043,MN17,
40483596,GERSHWIN THEATRE,Manhattan,222,WEST   51 STREET,10019,2123544624,Other,05/17/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,05/17/2016,06/06/2024,Cycle Inspection / Initial Inspection,40.762258864807,-73.984131129618,105,03,013100,1024812,1010220043,MN17,
